Type,                        Txhash,,,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
SolTransfer,3LohYnv2zK1DPiiME8yVYgsExgkLGPsVKuGRWMEw7XpGH6syWi5yyr3WRRudD1aeEXvQMT1XpDvJuxTfwZdjJxix,1701065699,2023-11-27T06:14:59,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,7v8Hoorh4noEiSD77SnoVStxnfJdxJdr8s9B6qYo2HCX,0.1
SolTransfer,4MuGaQWoiRfexsZXSGVM5trdVjDCr8xomKiqBgbgi5H8KYK1iGZ4pfcnogwVmoHsgCc5VqTRk8sTygMaBnx6Rfqd,1701065688,2023-11-27T06:14:48,0.000005,,,,,,,Solana,SOL,5VCwKtCXgCJ6kit5FybXjvriW3xELsFDhYrPSqtJNmcD,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,1.04901269
TokenChange,1V7z6sDSaNtaQhqxsUg6QBB24zJ5tVTznupKsa2918FhLM4Z5bUvxt5H1tjGGXQ5ffs5xaKAkFR3kga1Lp3xz1j,1701065686,2023-11-27T06:14:46,0.000025,7VyPK6TJ6ijVAk4iSvecVACi2ZGSYaNxWqi3wnMxC7Yb,inc,25,,25,CQSzJzwW5H1oyWrp6QhfUKYYwyovbSiVDKnAxNfb1tJC,Stanley Cup Coin,,,,
SolTransfer,dSPdqtZgHrdo6DGD1mXgtwhcStUwGpjtnHXCq1h2wZjGRwXjyYVZVxsiZCXp3iXjvimNpPJPiDD8vmW5UwZmR2E,1701065665,2023-11-27T06:14:25,0.000005,,,,,,,Solana,SOL,EL4dUZ6bRstUJMBfULmKWtvrdLWYUNk7BHMe7ZaV7mg6,Eh8Sxqk7TsE5Xrq5qz4ZdAc26SQEjacbroHjFYp7Wurz,0.05
SolTransfer,2s886XUCiavnkepJTkLwoCpbbqZ8MaKGQb297xBDdFkFXX6n9DXQ4QGdRaJ1Jc55SbUeEwfXy3aW8Ti3tpPpMsNo,1700756565,2023-11-23T16:22:45,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,EL4dUZ6bRstUJMBfULmKWtvrdLWYUNk7BHMe7ZaV7mg6,
SolTransfer,Rg45vMMkjTGbfHUobsXMx7Jj4nCVyWzn5RHzSUuex6tJG3WMK5PjB2ePVdZ3G68uogbvz1xStsDKDF4sd5WMkjA,1710821721,2024-03-19T04:15:21,0.000005,,,,,,,Solana,SOL,EL4dUZ6bRstUJMBfULmKWtvrdLWYUNk7BHMe7ZaV7mg6,AK6WgfHwdcjdRBU6Nd1XnFecEjQEnsWKzDwcYt7ndgiH,0.1
SolTransfer,5Ghc1PxnB31u83mSaqhqa3tg96fmJ3oydfg6zgDfw7Jrp4UcGQjqTRK4gSocmyVE8PnTLHRLFurXtLdZWh5cix8S,1702112998,2023-12-09T09:09:58,0.000005,,,,,,,Solana,SOL,7bnLF2LPwn2NW4UpjTGGqdTe9jABWJG36QkksNrdfnEE,EL4dUZ6bRstUJMBfULmKWtvrdLWYUNk7BHMe7ZaV7mg6,0.1
SolTransfer,5FkHv28AdHHhiiwZLdYFSqp556BUVCnts3ZhAdpxPMLLWK5XeLwj4Lob1644HiU2FBs9HJuAfRsurkTyrg1CGAir,1702112902,2023-12-09T09:08:22,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,EL4dUZ6bRstUJMBfULmKWtvrdLWYUNk7BHMe7ZaV7mg6,0.1
,,1702112870,2023-12-09T09:07:50,,,,,,,,,,,,
,,1702112749,2023-12-09T09:05:49,,,,,,,,,,,,
,,1701065740,2023-11-27T06:15:40,,,,,,,,,,,,
